# token	pronunciation	display
CUDA	K UW D AH	CUDA
VecDeque	V EH K D IY K	VecDeque
CMake	S IY M EY K	CMake
NVLink	EH N V IY L IH NG K	NVLink
C++	S IY P L AH S P L AH S	C++
std::vector	EH S T IY D IY COLON COLON V EH K T ER	std::vector
Tokio	T OW K IY OW	Tokio
serde	S ER D EE	serde
Kafka	K AE F K AH	Kafka
